Group,N_Top,N_Bot,Top_Mean,Bot_Mean,Spread,Spread_tstat,Spread_pval,Top_Exec_Mean,Bot_Exec_Mean
Full Sample,79385,80226,0.001722120315424245,-0.001007169140704406,0.002729289456128651,19.044030259863877,9.064178859494826e-81,-0.0009735702300045393,-0.001403278976818922
IS (2016-2021),51702,52392,0.0017010035990668746,-0.0011878753920766868,0.0028888789911435614,16.139515405425144,1.5861479953631253e-58,-0.0011446415693090023,-0.0014038856278543175
OOS (2022-2024),27683,27834,0.0017615588325325335,-0.0006670253625231702,0.0024285841950557035,10.159135542658873,3.17049772756493e-24,-0.000654069800689821,-0.0014021370762280461
Liquidity Top 25%,16273,19307,0.0016244698603750352,-0.001640689019762277,0.003265158880137312,9.690500678603277,3.5256563906534128e-22,-0.0011905856352868948,-0.0017619881454313741
Liquidity 50-75%,18646,20092,0.0017341291028031632,-0.0011929019634468229,0.002927031066249986,9.643772069628033,5.529714241737744e-22,-0.0010904206331934195,-0.001424708396372577
Liquidity 25-50%,20919,20085,0.0019127926255960441,-0.0005508069774321678,0.002463599603028212,9.075504017712426,1.180423714801928e-19,-0.0008937004041057707,-0.0012413684610442653
Liquidity Bottom 25%,23547,20742,0.0016107038270845248,-0.0006794727695643018,0.0022901765966488264,9.392813899549486,6.121206302465942e-21,-0.0008020202482640506,-0.0012054106368932316
Expiry 0-5,10978,11137,0.0016519797079919741,-0.0006295616629330819,0.002281541370925056,6.581931457257255,4.747832752061716e-11,-0.0006280229087491593,-0.000982040398494394
Expiry 6-10,18062,18265,-1.3922103808114463e-05,-0.0023114194813853013,0.002297497377577187,7.773070816322548,7.863013793769981e-15,-0.0024372675938080543,-0.0024752113636563244
Expiry 11-20,22122,22382,0.0008941636921710338,-0.0014121425817048353,0.002306306273875869,9.054183350393723,1.4303030823054386e-19,-0.0013412357823561552,-0.0014792894028149608
Expiry 21-40,28223,28442,0.0035094022551249815,1.228072890591696e-06,0.0035081741822343897,13.407638802275043,6.304926396814258e-41,0.00011693682599234174,-0.0008200296851577084
