event_id,index_name,announcement_date,effective_date,effective_close_date,event_type,company_name,historical_symbol,canonical_symbol,source_url,source_file,source_page,source_sha256,notes
1,NIFTY 50,2016-02-22,2016-04-01,2016-03-31,EXCLUSION,Cairn India Ltd.,CAIRN,CAIRN,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,ind_prs22022016_2.pdf,,,
2,NIFTY 50,2016-02-22,2016-04-01,2016-03-31,EXCLUSION,Punjab National Bank,PNB,PNB,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,ind_prs22022016_2.pdf,,,
3,NIFTY 50,2016-02-22,2016-04-01,2016-03-31,EXCLUSION,Vedanta Ltd.,VEDL,VEDL,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,ind_prs22022016_2.pdf,,,
4,NIFTY 50,2016-02-22,2016-04-01,2016-03-31,INCLUSION,Aurobindo Pharma Ltd.,AUROPHARMA,AUROPHARMA,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,ind_prs22022016_2.pdf,,,
5,NIFTY 50,2016-02-22,2016-04-01,2016-03-31,INCLUSION,Bharti Infratel Ltd.,INFRATEL,INFRATEL,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,ind_prs22022016_2.pdf,,,
6,NIFTY 50,2016-02-22,2016-04-01,2016-03-31,INCLUSION,Eicher Motors Ltd.,EICHERMOT,EICHERMOT,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,ind_prs22022016_2.pdf,,,
7,NIFTY 50,2016-02-22,2016-04-01,2016-03-31,INCLUSION,Tata Motors Ltd. (DVR),TATAMTRDVR,TATAMTRDVR,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,ind_prs22022016_2.pdf,,Added as 51st constituent,
8,NIFTY 50,2017-02-16,2017-03-31,2017-03-30,EXCLUSION,Bharat Heavy Electricals Ltd.,BHEL,BHEL,https://niftyindices.com/Press_Release/ind_prs16022017.pdf,ind_prs16022017.pdf,,,
9,NIFTY 50,2017-02-16,2017-03-31,2017-03-30,EXCLUSION,Idea Cellular Ltd.,IDEA,IDEA,https://niftyindices.com/Press_Release/ind_prs16022017.pdf,ind_prs16022017.pdf,,,
10,NIFTY 50,2017-02-16,2017-03-31,2017-03-30,INCLUSION,Indiabulls Housing Finance Ltd.,IBULHSGFIN,IBULHSGFIN,https://niftyindices.com/Press_Release/ind_prs16022017.pdf,ind_prs16022017.pdf,,,
11,NIFTY 50,2017-02-16,2017-03-31,2017-03-30,INCLUSION,Indian Oil Corporation Ltd.,IOC,IOC,https://niftyindices.com/Press_Release/ind_prs16022017.pdf,ind_prs16022017.pdf,,,
12,NIFTY 50,2017-04-27,2017-05-26,2017-05-25,EXCLUSION,Grasim Industries Ltd.,GRASIM,GRASIM,https://niftyindices.com/Press_Release/ind_prs27042017.pdf,ind_prs27042017.pdf,,Demerger/Merger restructuring,
13,NIFTY 50,2017-04-27,2017-05-26,2017-05-25,INCLUSION,Vedanta Ltd.,VEDL,VEDL,https://niftyindices.com/Press_Release/ind_prs27042017.pdf,ind_prs27042017.pdf,,,
